N, Insert, Lookup, Remove
0,2.161e-06,3.4e-07,1.573e-06
1,1.395e-06,1.45e-07,1.001e-06
2,1.55e-06,1.24e-07,1.016e-06
3,1.324e-06,1.16e-07,8.39e-07
4,1.963e-06,1.23e-07,1.399e-06
5,1.708e-06,1.22e-07,1.262e-06
6,1.268e-06,1.23e-07,8.95e-07
7,1.294e-06,1.23e-07,9.33e-07
8,1.374e-06,1.45e-07,9.36e-07
9,1.316e-06,1.37e-07,9e-07
10,1.294e-06,1.33e-07,9.18e-07
11,1.304e-06,1.25e-07,8.92e-07
12,1.243e-06,1.26e-07,8.69e-07
13,1.686e-06,1.25e-07,1.249e-06
14,4.881e-06,1.42e-07,9.73e-07
15,2.802e-06,1.18e-07,1.78e-06
16,1.475e-06,1.45e-07,9.64e-07
17,3.753e-06,1.21e-07,1.334e-06
18,2.756e-06,1.19e-07,8.72e-07
19,4.132e-06,1.21e-07,2.03e-06
20,3.887e-06,1.22e-07,9.68e-07
21,3.64e-06,1.21e-07,1.718e-06
22,2.559e-06,1.2e-07,9.25e-07
23,3.138e-06,1.3e-07,1.83e-06
24,4.945e-06,1.37e-07,1.233e-06
25,4.842e-06,1.27e-07,1.847e-06
26,1.379e-06,1.3e-07,9.09e-07
27,2.618e-06,1.2e-07,1.361e-06
28,2.577e-06,1.23e-07,1.864e-06
29,2.489e-06,1.47e-07,9.37e-07
30,5.859e-06,1.21e-07,1.291e-06
31,3.122e-06,1.18e-07,1.226e-06
32,1.977e-06,1.3e-07,1.388e-06
33,4.895e-06,1.21e-07,1.732e-06
34,5.536e-06,1.19e-07,8.89e-07
35,3.225e-06,1.2e-07,1.622e-06
36,3.417e-06,1.28e-07,1.744e-06
37,2.08e-06,1.18e-07,9.15e-07
38,5.767e-06,1.21e-07,3.076e-06
39,1.871e-06,1.27e-07,1.272e-06
40,4.314e-06,1.23e-07,1.34e-06
41,4.846e-06,1.28e-07,9.46e-07
42,3.681e-06,1.27e-07,1.354e-06
43,3.097e-06,1.22e-07,1.344e-06
44,3.933e-06,1.19e-07,1.386e-06
45,3.098e-06,1.28e-07,1.872e-06
46,1.462e-06,1.44e-07,9.42e-07
47,3.134e-06,1.22e-07,1.235e-06
48,4.325e-06,1.27e-07,1.699e-06
49,2.264e-06,1.32e-07,8.87e-07
50,6.172e-06,1.2e-07,1.607e-06
51,1.344e-06,1.27e-07,9.17e-07
52,6.581e-06,1.27e-07,3.422e-06
53,5.424e-06,1.18e-07,2.104e-06
54,2.688e-06,1.25e-07,1.331e-06
55,4.063e-06,1.18e-07,2.16e-06
56,2.531e-06,1.46e-07,1.355e-06
57,4.581e-06,1.29e-07,9.17e-07
58,4.033e-06,1.18e-07,1.888e-06
59,5.624e-06,1.2e-07,2.092e-06
60,7.377e-06,1.23e-07,9.17e-07
61,4.157e-06,1.24e-07,2.118e-06
62,3.518e-06,1.35e-07,9.32e-07
63,3.028e-06,1.22e-07,1.302e-06
64,6.89e-06,1.16e-07,2.422e-06
65,3.139e-06,1.23e-07,1.671e-06
66,8.465e-06,1.2e-07,2.059e-06
67,4.619e-06,1.21e-07,2.545e-06
68,2.732e-06,1.3e-07,1.35e-06
69,4.854e-06,1.3e-07,1.783e-06
70,4.152e-06,1.22e-07,1.302e-06
71,3.648e-06,1.45e-07,1.353e-06
72,4.894e-06,1.22e-07,2.082e-06
73,5.667e-06,1.23e-07,2.408e-06
74,5.786e-06,1.27e-07,2.646e-06
75,3.178e-06,1.45e-07,1.455e-06
76,4.257e-06,1.46e-07,1.457e-06
77,5.24e-06,1.19e-07,1.708e-06
78,3.07e-06,1.23e-07,1.911e-06
79,9.777e-06,1.23e-07,9.28e-07
80,8.198e-06,1.2e-07,3.835e-06
81,5.824e-06,1.26e-07,2.244e-06
82,6.183e-06,1.28e-07,1.728e-06
83,5.707e-06,1.17e-07,2.359e-06
84,3.594e-06,1.2e-07,2.47e-06
85,1.436e-06,1.35e-07,9.54e-07
86,6.528e-06,1.18e-07,3.595e-06
87,5.826e-06,1.18e-07,1.93e-06
88,5.076e-06,1.18e-07,2.078e-06
89,6.716e-06,1.22e-07,2.053e-06
90,3.554e-06,1.17e-07,9.29e-07
91,5.468e-06,1.2e-07,2.971e-06
92,4.849e-06,1.19e-07,1.671e-06
93,5.262e-06,1.25e-07,2.927e-06
94,8.683e-06,1.22e-07,2.581e-06
95,5.4e-06,1.19e-07,2.565e-06
96,3.488e-06,1.18e-07,1.299e-06
97,4.049e-06,1.2e-07,8.53e-07
98,4.462e-06,1.2e-07,1.606e-06
99,3.05e-06,1.14e-07,1.608e-06
100,5.228e-06,1.28e-07,9.18e-07
101,4.036e-06,1.22e-07,2.116e-06
102,5.415e-06,1.2e-07,3.357e-06
103,5.52e-06,1.21e-07,1.237e-06
104,8.649e-06,1.25e-07,2.883e-06
105,5.528e-06,1.19e-07,1.333e-06
106,6.088e-06,1.2e-07,2.161e-06
107,2.285e-06,1.34e-07,9.09e-07
108,7.327e-06,1.58e-07,3.011e-06
109,5.235e-06,1.45e-07,1.944e-06
110,3.151e-06,1.19e-07,1.66e-06
111,3.913e-06,1.23e-07,2.085e-06
112,3.944e-06,1.25e-07,1.421e-06
113,7.204e-06,1.25e-07,9.17e-07
114,1.724e-06,1.27e-07,9.5e-07
115,4.521e-06,1.18e-07,2.47e-06
116,5.625e-06,1.2e-07,2.871e-06
117,3.044e-06,1.24e-07,1.303e-06
118,4.358e-06,1.16e-07,2.439e-06
119,7.13e-06,1.22e-07,2.163e-06
120,6.545e-06,1.21e-07,2.245e-06
121,4.277e-06,1.28e-07,8.85e-07
122,7.931e-06,1.22e-07,3.39e-06
123,5.752e-06,1.28e-07,2.986e-06
124,8.041e-06,1.27e-07,2.948e-06
125,6.444e-06,1.24e-07,2.098e-06
126,2.099e-06,1.21e-07,9.57e-07
127,4.464e-06,1.36e-07,9.32e-07
